Obs,LABEL,FORMAT,LENGTH,TYPE,START,END,DESCRIPTION,KEEP,FORM SECTION
64,INIT_DATE,MMDDYY,10,Numeric,558,567,DATE PLACED ON  WAITING LIST,1,WAITING LIST DATA
65,WT_QUAL_DATE,MMDDYY,10,Numeric,568,577,WL OPTN (NON-VARIANCE) WAITING TIME QUALIFYING DATE,1,WAITING LIST DATA
66,ETHNICITY,,10,Character,578,587,RECIPIENT ETHNICITY,1,CANDIDATE INFORMATION
67,ETHCAT,,10,Character,588,597,RECIPIENT ETHNICITY CATEGORY,1,CANDIDATE INFORMATION
68,PT_CODE,,10,Identifier,598,607,ENCRYPTED RECIPIENT IDENTIFIER,1,
69,INIT_BMI_CALC,,8,Numeric,608,615,CALCULATED CANDIDATE BMI AT LISTING,1,
70,END_BMI_CALC,,8,Numeric,616,623,CALCULATED CANDIDATE BMI AT REMOVAL/CURRENT TIME,1,
71,DAYSWAIT_ALLOC,,10,Numeric,624,633,TIME USED FOR ALLOCATION PRIORITY (DAYS),1,
72,WLHR,,1,Character,634,634,WAS CANDIDATE LISTED FOR SIMULTANEOUS HEART?,1,
73,WLHL,,1,Character,635,635,WAS CANDIDATE LISTED FOR SIMULTANEOUS HEART-LUNG?,1,
74,WLIN,,1,Character,636,636,WAS CANDIDATE LISTED FOR SIMULTANEOUS INTESTINE?,1,
75,WLKI,,1,Character,637,637,WAS CANDIDATE LISTED FOR SIMULTANEOUS KIDNEY?,1,
76,WLKP,,1,Character,638,638,WAS CANDIDATE LISTED FOR SIMULTANEOUS KIDNEY-PANCREAS?,1,
77,WLLI,,1,Character,639,639,WAS CANDIDATE LISTED FOR SIMULTANEOUS LIVER?,1,
78,WLLU,,1,Character,640,640,WAS CANDIDATE LISTED FOR SIMULTANEOUS LUNG?,1,
79,WLPA,,1,Character,641,641,WAS CANDIDATE LISTED FOR SIMULTANEOUS PANCREAS?,1,
80,WLPI,,1,Character,642,642,WAS CANDIDATE LISTED FOR SIMULTANEOUS PANCREAS ISLET?,1,
81,REGION,,11,Character,643,653,UNOS REGION WHERE TRANSPLANTED,1,
82,WL_ID_CODE,,10,Identifier,654,663,ENCRYPTED REGISTRATION IDENTIFIER,1,
83,PERIP_VASC,$,1,Character,664,664,RECIPIENT PERIPHERAL VASCULAR DISEASE  @ REGISTRATION,1,CLINICAL INFORMATION
84,EXH_PERIT_ACCESS,$,1,Character,665,665,RECIPIENT EXHAUSTED VASCULAR ACCESS @ REGISTRATION,1,CLINICAL INFORMATION
85,AGE_DIAB,,6,Numeric,666,671,RECIPIENT AGE OF DIABETES ONSET @ REGISTRATION-KI,1,CLINICAL INFORMATION
86,EXH_VASC_ACCESS,$,1,Character,672,672,RECIPIENT EXHAUSTED PERITONEAL ACCESS @ REGISTRATION,1,CLINICAL INFORMATION
87,YR_ENTRY_US_TCR,DATETIME,22,Numeric,673,694,YEAR OF ENTRY TO THE U.S.,1,CANDIDATE INFORMATION
88,WORK_INCOME_TCR,$,1,Character,695,695,WORK FOR INCOME AT REGISTRATION?,1,CANDIDATE INFORMATION
89,ACADEMIC_PRG_TCR,,6,Character,696,701,ACADEMIC PROGRESS AT LISTING,1,CANDIDATE INFORMATION
90,ACADEMIC_LEVEL_TCR,,6,Character,702,707,ACADEMIC ACTIVITY LEVEL AT LISTING,1,CANDIDATE INFORMATION
91,MALIG_TCR_KI,$,1,Character,708,708,RECIPIENT PREVIOUS MALIG. @ REGISTRATION (KIDNEY),1,CLINICAL INFORMATION
92,PRI_PAYMENT_TCR_KI,,6,Character,709,714,RECIPIENT-PRIMARY PROJECTED PAYMENT SOURCE-KI  @ REGISTRATION,1,CANDIDATE INFORMATION
93,MALIG_TCR_PA,$,1,Character,715,715,RECIPIENT PREVIOUS MALIG. @ REGISTRATION (PANCREAS),1,CLINICAL INFORMATION
94,PRI_PAYMENT_TCR_PA,,6,Character,716,721,RECIPIENT-PRIMARY PROJECTED PAYMENT SOURCE-PA  @ REGISTRATION,1,CANDIDATE INFORMATION
95,PREV_TX,,1,Character,722,722,HISTORY of a PREVIOUS TRANSPLANT INVOLVING EXACT SAME ORGAN AS CURRENT TX,1,
96,PREV_KI_TX,,1,Character,723,723,IF KI OR KP TRANSPLANT IS THERE A HISTORY OF KI or KP TRANSPLANT,1,
97,PREV_PA_TX,,1,Character,724,724,IF PA OR KP TRANSPLANT IS THERE A HISTORY of PA or KP TX,1,
98,ACADEMIC_LEVEL_TRR,,6,Character,725,730,ACADEMIC ACTIVITY LEVEL AT TRANSPLANT,1,PATIENT STATUS
99,ACADEMIC_PRG_TRR,,6,Character,731,736,ACADEMIC PROGRESS AT TRANSPLANT,1,PATIENT STATUS
100,FUNC_STAT_TRR,,6,Character,737,742,RECIPIENT FUNCTIONAL STATUS @TRANSPLANT,1,PATIENT STATUS
101,MALIG_TRR,$,1,Character,743,743,RECIPIENT ANY KNOWN MALIGNANCIES SINCE LISTING  @ TRANSPLANT,1,PRETRANSPLANT CLINICAL INFORMATION
102,MALIG_OSTXT_TRR,$,50,Character,744,793,TRR MALIGNANCY TYPE TEXT,1,PRETRANSPLANT CLINICAL INFORMATION
103,MALIG_TY_TRR,,6,Character,794,799,TYPE OF MALIGNANCY BETWEEN LISTING AND TRANSPLANT,1,PRETRANSPLANT CLINICAL INFORMATION
104,PERM_STATE_TRR,$,2,Character,800,801,RECIPIENT STATE OF RESIDENCY  @ TRANSPLANT,1,CANDIDATE INFORMATION
105,PRI_PAYMENT_TRR_KI,,6,Character,802,807,RECIPIENT PRIMARY PAYMENT SOURCE-KI  @ TRANSPLANT,1,PATIENT STATUS
106,PRI_PAYMENT_CTRY_TRR_KI,$,3,Character,808,810,RECIPIENT FOREIGN COUNTRY SPECIFIED AS PRIMARY PAYMENT SOURCE-KI  @ TRANSPLANT,1,PATIENT STATUS
107,WORK_INCOME_TRR,$,1,Character,811,811,RECIPIENT WORK FOR INCOME AT TRANSPLANT?,1,PATIENT STATUS
108,TX_DATE,MMDDYY,10,Numeric,812,821,TRANSPLANT DATE,1,RECIPIENT INFORMATION
109,ACUTE_REJ_EPI_KI,,6,Character,822,827,RECIPIENT ANY ACUTE REJECTION EPISODES BETW. TX AND DISCHARGE-KIDNEY,0,POST TRANSPLANT CLINICAL INFORMATION
110,CREAT_TRR,,10,Numeric,828,837,RECIPIENT SERUM CREATININE AT TIME OF TX,1,PRETRANSPLANT CLINICAL INFORMATION
111,FIRST_WK_DIAL,$,1,Character,838,838,RECIPIENT DIALYSIS W/IN FIRST WEEK OF KIDNEY TX,0,POST TRANSPLANT CLINICAL INFORMATION
112,ORG_REC_ON,,6,Character,839,844,KIDNEY RECEIVED ON ICE OR PUMP,1,CLINICAL INFORMATION
113,PREV_PREG,,6,Numeric,845,850,RECIPIENT NUMBER OF PREVIOUS PREGNANCIES-KI  @ TRANSPLANT,1,PRETRANSPLANT CLINICAL INFORMATION
114,REC_ON_ICE,,6,Character,851,856,KIDNEY RECEIVED ON ICE   ,1,ORGAN RECOVERY
115,REC_ON_PUMP,,6,Character,857,862,KIDNEY RECEIVED ON PUMP   ,1,ORGAN RECOVERY
116,SERUM_CREAT,,10,Numeric,863,872,RECIPIENT CREATININE AT DISCHARGE,0,POST TRANSPLANT CLINICAL INFORMATION
117,L_FIN_FLOW_RATE_TX,,7,Numeric,873,879,Left Kidney Final Flow Rate at Transplant,1,TRANSPLANT CLINICAL INFORMATION
118,L_FIN_RESIST_TX,,7,Numeric,880,886,Left Kidney Final Resistance at Transplant,1,TRANSPLANT CLINICAL INFORMATION
119,R_FIN_FLOW_RATE_TX,,7,Numeric,887,893,Right Kidney Final Flow Rate at Transplant,1,TRANSPLANT CLINICAL INFORMATION
120,R_FIN_RESIST_TX,,7,Numeric,894,900,Right Kidney Final Resistance at Transplant,1,TRANSPLANT CLINICAL INFORMATION
121,PRE_TX_TXFUS,$,1,Character,901,901,RECIPIENT # OF PRE-TRANSPLANT TRANSFUSIONS-KI  @ TRANSPLANT,1,PRETRANSPLANT CLINICAL INFORMATION
122,FIN_RESIST_TX,,20,Numeric,902,921,FINAL RESTSITANCE AT TRANSPLANT,1,TRANSPLANT CLINICAL INFORMATION
123,TXHRT,,1,Character,922,922,SIMULTANEOUS HEART ,1,
124,TXINT,,1,Character,923,923,SIMULTANEOUS INTESTINE,1,
125,TXKID,,1,Character,924,924,SIMULTANEOUS KIDNEY,1,
126,TXLIV,,1,Character,925,925,SIMULTANEOUS LIVER,1,
127,TXLNG,,1,Character,926,926,SIMULTANEOUS LUNG,1,
128,TXPAN,,1,Character,927,927,SIMULTANEOUS PANCREAS,1,
129,PRI_PAYMENT_CTRY_TCR_KI,$,3,Character,928,930,RECIPIENT-FOREIGN GOVERNMENT AS PROJECTED PAYMENT SOURCE-KI  @ REGISTRATION,1,CANDIDATE INFORMATION
130,PREV_MALIG_TY,,20,Character,931,950,ANY PREVIOUS MALIGANCY TYPE AT REGISTRATION,1,CLINICAL INFORMATION
131,PREV_MALIG_TY_OSTXT,$,50,Character,951,1000,ANY PREVIOUS MALIGANCY TYPE AT REGISTRATION TEXT,1,CLINICAL INFORMATION
132,RDA1,,6,Numeric,1001,1006,DONOR RETPYED A1 ANTIGEN,1,RECIPIENT HLA TYPING
133,RDA2,,6,Numeric,1007,1012,DONOR RETPYED A2 ANTIGEN,1,RECIPIENT HLA TYPING
134,RDB1,,6,Numeric,1013,1018,DONOR RETPYED B1 ANTIGEN,1,RECIPIENT HLA TYPING
135,RDB2,,6,Numeric,1019,1024,DONOR RETPYED B2 ANTIGEN,1,RECIPIENT HLA TYPING
136,RDDR1,,6,Numeric,1025,1030,DONOR RETPYED DR1 ANTIGEN,1,RECIPIENT HLA TYPING
137,RDDR2,,6,Numeric,1031,1036,DONOR RETPYED DR2 ANTIGEN,1,RECIPIENT HLA TYPING
138,DON_RETYP,$,1,Character,1037,1037,DECEASED DONOR-RETYPED AT TX CENTER,1,TEST INFORMATION
139,RESUM_MAINT_DIAL_DT,MMDDYY,10,Numeric,1038,1047,RECIPIENT DATE RESUMED MAINTENANCE DIALYSIS POST KI TX,0,POST TRANSPLANT CLINICAL INFORMATION/CLINICAL INFORMATION
140,DA1,,6,Numeric,1048,1053,DONOR A1 ANTIGEN,1,DONOR CENTER HISTOCOMPATIBILITY TYPING
141,DA2,,6,Numeric,1054,1059,DONOR A2 ANTIGEN,1,DONOR CENTER HISTOCOMPATIBILITY TYPING
142,DB1,,6,Numeric,1060,1065,DONOR B1 ANTIGEN,1,DONOR CENTER HISTOCOMPATIBILITY TYPING
143,DB2,,6,Numeric,1066,1071,DONOR B2 ANTIGEN,1,DONOR CENTER HISTOCOMPATIBILITY TYPING
144,DDR1,,6,Numeric,1072,1077,DONOR DR1 ANTIGEN,1,DONOR CENTER HISTOCOMPATIBILITY TYPING
145,DDR2,,6,Numeric,1078,1083,DONOR DR2 ANTIGEN,1,DONOR CENTER HISTOCOMPATIBILITY TYPING
146,RA1,,6,Numeric,1084,1089,RECIPIENT A1 ANTIGEN,1,RECIPIENT HLA TYPING
147,RA2,,6,Numeric,1090,1095,RECIPIENT A2 ANTIGEN,1,RECIPIENT HLA TYPING
148,RB1,,6,Numeric,1096,1101,RECIPIENT B1 ANTIGEN,1,RECIPIENT HLA TYPING
149,RB2,,6,Numeric,1102,1107,RECIPIENT B2 ANTIGEN,1,RECIPIENT HLA TYPING
150,RDR1,,6,Numeric,1108,1113,RECIPIENT DR1 ANTIGEN,1,RECIPIENT HLA TYPING
151,RDR2,,6,Numeric,1114,1119,RECIPIENT DR2 ANTIGEN,1,RECIPIENT HLA TYPING
152,AMIS,,10,Character,1120,1129,A Locus MISMATCH LEVEL,1,
153,BMIS,,10,Character,1130,1139,B Locus MISMATCH LEVEL,1,
154,DRMIS,,10,Character,1140,1149,DR Locus MISMATCH LEVEL,1,
155,HLAMIS,,10,Character,1150,1159,HLA MISMATCH LEVEL,1,
156,NPKID,,10,Numeric,1160,1169,NUMBER PREVIOUS TXs -KIDNEY,1,
157,NPPAN,,10,Numeric,1170,1179,NUMBER PREVIOUS TXs -PANCREAS,1,
158,HAPLO_TY_MATCH_DON,,6,Character,1180,1185,LIVING DONOR-RECIPIENT HAPLOTYPE MATCH,1,RECIPIENT OF A LIVING DONOR INFORMATION
159,AGE_DON,,3,Numeric,1186,1188,DONOR AGE (YRS),1,DONOR INFORMATION
160,DDAVP_DON,$,1,Character,1189,1189,DECEASED DONOR-SYNTHETIC ANTI DIURETIC HORMONE (DDAVP),1,CLINICAL INFORMATION
161,CMV_OLD_LIV_DON,$,2,Character,1190,1191,LIV DONOR CMV -SEROLOGY (PRE 10/25/99 DATA),1,CLINICAL INFORMATION
162,CMV_DON,$,2,Character,1192,1193,"DONOR SEROLOGY ANTI CMV (FOR LIVING DONOR, PRE UNET DATA ONLY)",1,CLINICAL INFORMATION
163,CMV_TEST_DON,$,1,Character,1194,1194,LIV DONOR CMV TESTED?,1,CLINICAL INFORMATION
164,EBV_TEST_DON,$,1,Character,1195,1195,LIVING DONOR EPSTEIN BARR VIRUS TESTED?,1,CLINICAL INFORMATION - SEROLOGY
165,HBV_TEST_DON,$,1,Character,1196,1196,LIVING DONOR HBV TEST DONE,1,CLINICAL INFORMATION
166,HCV_TEST_DON,$,1,Character,1197,1197,LIVING DONOR HEP C TEST DONE?,1,CLINICAL INFORMATION
167,CMV_NUCLEIC_DON,$,2,Character,1198,1199,DONOR CMV BY NUCLEIC ACID,1,CLINICAL INFORMATION
168,CMV_IGG_DON,$,2,Character,1200,1201,LIVING DONOR-CMV BY IGG TEST RESULT,1,CLINICAL INFORMATION
169,CMV_IGM_DON,$,2,Character,1202,1203,LIVING DONOR-CMV BY IGM TEST RESULT,0,CLINICAL INFORMATION
170,EBV_DNA_DON,$,2,Character,1204,1205,LIVING DONOR-EPSTEIN BARR VIRUS BY DNA TEST RESULT,1,CLINICAL INFORMATION
171,EBV_IGG_DON,$,2,Character,1206,1207,LIVING DONOR EPSTEIN BARR VIRUS BY IGG TEST RESULT,1,CLINICAL INFORMATION
172,EBV_IGM_DON,$,2,Character,1208,1209,LIVING DONOR EPSTEIN BARR VIRUS BY IGM TEST RESULT,1,CLINICAL INFORMATION
173,HBV_CORE_DON,$,2,Character,1210,1211,DONOR HBV CORE ANTIBODY,1,CLINICAL INFORMATION
174,HBV_SUR_ANTIGEN_DON,$,2,Character,1212,1213,DONOR HEP B SURFACE ANTIGEN,1,CLINICAL INFORMATION
175,ETHCAT_DON,,10,Character,1214,1223,DONOR ETHNICITY CATEGORY,1,DONOR INFORMATION
176,COD_CAD_DON,,6,Character,1224,1229,DECEASED DONOR-CAUSE OF DEATH,1,DONOR INFORMATION
177,DEATH_CIRCUM_DON,,6,Character,1230,1235,DECEASED DONOR-CIRCUMSTANCE OF DEATH,1,DONOR INFORMATION
178,DEATH_MECH_DON,,6,Character,1236,1241,DECEASED DONOR-MECHANISM OF DEATH,1,DONOR INFORMATION
179,CITIZENSHIP_DON,,6,Character,1242,1247,DONOR CITIZENSHIP,1,DONOR INFORMATION
180,HEP_C_ANTI_DON,$,2,Character,1248,1249,DECEASED DONOR-ANTIBODY TO HEP C VIRUS RESULT,1,CLINICAL INFORMATION
181,HCV_RNA_DON,$,2,Character,1250,1251,LIVING DONOR HEP C RNA,1,CLINICAL INFORMATION
182,ABO_DON,$,3,Character,1252,1254,DONOR BLOOD TYPE,1,DONOR INFORMATION
183,DON_TY,$,3,Character,1255,1257,DONOR TYPE - DECEASED OR LIVING,1,DONOR INFORMATION
184,GENDER_DON,$,1,Character,1258,1258,DONOR GENDER,1,DONOR INFORMATION
185,HOME_STATE_DON,$,2,Character,1259,1260,DR HOME STATE,1,DONOR INFORMATION
186,WARM_ISCH_TM_DON,,6,Numeric,1261,1266,DECEASED DONOR NON-HEART BEATING ESTIMATED WARM ISCHEMIC TIME (MINUTES),1,ORGAN RECOVERY
187,HCV_RIBA_DON,$,2,Character,1267,1268,LIVING DONOR HEP C-RIBA TEST,1,CLINICAL INFORMATION
188,HCV_ANTIBODY_DON,$,2,Character,1269,1270,LIVING DONOR HEP C ANTIBODY,1,CLINICAL INFORMATION
189,LIV_DON_TY,,6,Character,1271,1276,LIVING DONOR RELATION TO RECIPIENT,1,DONOR INFORMATION
190,CITIZEN_COUNTRY_DON,$,3,Character,1277,1279,DECEASED DONOR-HOME COUNTRY,1,DONOR INFORMATION
191,COD_OSTXT_DON,$,50,Character,1280,1329,DECEASED DONOR-CAUSE OF DEATH-OTHER SPECIFY,1,DONOR INFORMATION
192,CONTROLLED_DON,$,1,Character,1330,1330,DECEASED DONOR CONTROLLED NON-HEART BEATING (Y/N),1,ORGAN RECOVERY
193,CORE_COOL_DON,$,1,Character,1331,1331,DECEASED DONOR-CORE COOLING FOR CONTROLLED NON-HRT BEATING,1,ORGAN RECOVERY
194,NON_HRT_DON,$,1,Character,1332,1332,DECEASED DONOR-NON-HEART BEATING DONOR,1,ORGAN RECOVERY
195,ANTIHYPE_DON,$,1,Character,1333,1333,DECEASED DONOR-ANTIHYPERTENSIVES W/IN 24 HRS PRE-CROSS CLAMP,1,CLINICAL INFORMATION
196,BLOOD_INF_DON,,1,Character,1334,1334,DECEASED DONOR-BLOOD AS INFECTION SOURCE,1,CLINICAL INFORMATION
197,BLOOD_INF_CONF_DON,$,1,Character,1335,1335,DECEASED DONOR-INFECTION SOURE BLOOD-CONFIRMED VIA CULTURE,1,CLINICAL INFORMATION
198,BUN_DON,,10,Numeric,1336,1345,DECEASED DONOR-TERMINAL BLOOD UREA NITROGEN,1,CLINICAL INFORMATION
199,CREAT_DON,,10,Numeric,1346,1355,DECEASED DONOR-TERMINAL LAB CREATININE,1,CLINICAL INFORMATION
200,DOBUT_DON_OLD,$,1,Character,1356,1356,DECEASED DONOR-DOBUTAMINE W/IN 24 HRS PRE-CROSS CLAMP,1,CLINICAL INFORMATION
201,DOPAMINE_DON_OLD,$,1,Character,1357,1357,DECEASED DONOR-DOPAMINE W/IN 24 HRS PRE-CROSS CLAMP,1,CLINICAL INFORMATION
202,HTLV1_OLD_DON,$,2,Character,1358,1359,DECEASED DONOR-ANTIBODY TO HTLV I RESULT,1,CLINICAL INFORMATION
203,HTLV2_OLD_DON,$,2,Character,1360,1361,DECEASED DONOR-ANTIBODY TO HTLV II RESULT,1,CLINICAL INFORMATION
204,OTH_DON_MED1_OSTXT_DON_OLD,$,50,Character,1362,1411,DECEASED DONOR OTHER MEDICATIONS1 W/IN 24 HRS PRE-CROSS CLAMP,1,CLINICAL INFORMATION
205,OTH_DON_MED2_OSTXT_DON_OLD,$,50,Character,1412,1461,DECEASED DONOR OTHER MEDICATIONS2 W/IN 24 HRS PRE-CROSS CLAMP,1,CLINICAL INFORMATION
206,OTH_DON_MED3_OSTXT_DON_OLD,$,50,Character,1462,1511,DECEASED DONOR OTHER MEDICATIONS3 W/IN 24 HRS PRE-CROSS CLAMP,1,CLINICAL INFORMATION
207,OTHER_INF_DON,,1,Character,1512,1512,DECEASED DONOR INFECTION OTHER SOURCE,1,CLINICAL INFORMATION
208,OTHER_INF_CONF_DON,$,1,Character,1513,1513,DECEASED DONOR INFECTION OTHER SOURCE-CONFIRMED,1,CLINICAL INFORMATION
